2018/2019,West Ham United
2017/2018,Newcastle United
2016/2017,West Bromwich Albion
2015/2016,Chelsea FC
2014/2015,Crystal Palace
2013/2014,Newcastle United
2012/2013,West Ham United
2011/2012,West Bromwich Albion
2010/2011,Sunderland AFC
2009/2010,Blackburn Rovers
2008/2009,Manchester City
2007/2008,West Ham United
2006/2007,Blackburn Rovers
2005/2006,Wigan Athletic
2004/2005,Aston Villa
2003/2004,Birmingham City
2002/2003,Tottenham Hotspur
2001/2002,Blackburn Rovers
2000/2001,Southampton FC
1999/2000,Tottenham Hotspur
1998/1999,Leicester City
1997/1998,Leicester City
1996/1997,Tottenham Hotspur
1995/1996,West Ham United
1994/1995,Southampton FC
1993/1994,Aston Villa
1992/1993,Arsenal FC
1991/1992,Crystal Palace
1990/1991,Tottenham Hotspur
1989/1990,Norwich City
1988/1989,Millwall FC
1987/1988,Coventry City
1986/1987,Coventry City
1985/1986,Tottenham Hotspur
1984/1985,Aston Villa
1983/1984,Aston Villa
1982/1983,Arsenal FC
1981/1982,Manchester City
1980/1981,Tottenham Hotspur
1979/1980,West Bromwich Albion
1978/1979,Coventry City
1977/1978,Manchester United
1976/1977,Leeds United
1975/1976,Norwich City
1974/1975,Burnley FC
1973/1974,Arsenal FC
1972/1973,Birmingham City
1971/1972,Sheffield United
1970/1971,Coventry City
1969/1970,Manchester City
1968/1969,West Bromwich Albion
1967/1968,Newcastle United
1966/1967,Sheffield United
1965/1966,Stoke City
1964/1965,Blackburn Rovers
1963/1964,West Bromwich Albion
1962/1963,Sheffield United
1961/1962,Arsenal FC
1960/1961,West Bromwich Albion
1959/1960,Fulham FC
1958/1959,Blackburn Rovers
1957/1958,Nottingham Forest
1956/1957,Aston Villa
1955/1956,Luton Town
1954/1955,Burnley FC
1953/1954,Cardiff City
1952/1953,Tottenham Hotspur
1951/1952,Charlton Athletic
1950/1951,Burnley FC
1949/1950,Burnley FC
1948/1949,Aston Villa
1947/1948,Manchester City
1946/1947,Everton FC
1938/1939,Grimsby Town
1937/1938,Chelsea FC
1936/1937,Stoke City
1935/1936,Portsmouth FC
1934/1935,Stoke City
1933/1934,Portsmouth FC
1932/1933,Sheffield United
1931/1932,Liverpool FC
1930/1931,Blackburn Rovers
1929/1930,Huddersfield Town
1928/1929,Newcastle United
1927/1928,Arsenal FC
1926/1927,Aston Villa
1925/1926,Newcastle United
1924/1925,Manchester City
1923/1924,Notts County
1922/1923,Sheffield United
1921/1922,Manchester City
1920/1921,Aston Villa
1919/1920,Arsenal FC
1914/1915,West Bromwich Albion
1913/1914,Sheffield United
1912/1913,West Bromwich Albion
1911/1912,Woolwich Arsenal
1910/1911,Woolwich Arsenal
1909/1910,Everton FC
1908/1909,Preston North End
1907/1908,Bristol City
1906/1907,Sunderland AFC
1905/1906,Stoke City
1904/1905,Woolwich Arsenal
1903/1904,Middlesbrough FC
1902/1903,Nottingham Forest
1901/1902,Sheffield United
1900/1901,Bolton Wanderers
1899/1900,Liverpool FC
1898/1899,Bury FC
1897/1898,Derby County
1896/1897,Wolverhampton Wanderers
1895/1896,Burnley FC
1894/1895,Bolton Wanderers
1893/1894,Sheffield United
1892/1893,Nottingham Forest
1891/1892,Derby County
1890/1891,Accrington FC
1889/1890,Notts County
1888/1889,Derby County
